gt_source,gt_target,pred_source,pred_target,count
Softwood forest,Softwood forest,Orchards and fruit growing,Corn,11
Woody moorlands,Woody moorlands,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",10
Corn,Corn,Diffuse built-up area,Soy,10
Softwood forest,Softwood forest,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",10
Vineyards,Vineyards,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",10
Industrial and commercial areas,Industrial and commercial areas,Soy,Corn,10
Softwood forest,Softwood forest,Orchards and fruit growing,Woody moorlands,10
Dense built-up area,Dense built-up area,Woody moorlands,Diffuse built-up area,10
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Sunflower,Oilseeds (Rapeseed),10
Water,Water,Orchards and fruit growing,Vineyards,10
Orchards and fruit growing,Orchards and fruit growing,Natural grasslands and pastures,Industrial and commercial areas,10
Water,Water,Natural grasslands and pastures,Softwood forest,10
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Sunflower,"Straw cereals (Wheat, Triticale, Barley)",10
Sunflower,Sunflower,Industrial and commercial areas,Orchards and fruit growing,10
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Corn,10
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Softwood forest,10
Roads,Roads,Orchards and fruit growing,Oilseeds (Rapeseed),10
Diffuse built-up area,Diffuse built-up area,Roads,Industrial and commercial areas,10
Dense built-up area,Dense built-up area,Sunflower,Dense built-up area,10
Woody moorlands,Woody moorlands,Orchards and fruit growing,Oilseeds (Rapeseed),10
Hardwood forest,Hardwood forest,Vineyards,Diffuse built-up area,10
Roads,Roads,Corn,Roads,10
Roads,Roads,Roads,Sunflower,9
Natural grasslands and pastures,Natural grasslands and pastures,Water,Woody moorlands,9
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,9
Hardwood forest,Hardwood forest,Corn,Sunflower,9
Softwood forest,Softwood forest,Soy,Industrial and commercial areas,9
Orchards and fruit growing,Orchards and fruit growing,Water,Industrial and commercial areas,9
Softwood forest,Softwood forest,Sunflower,Diffuse built-up area,9
Industrial and commercial areas,Industrial and commercial areas,Corn,Soy,9
Softwood forest,Softwood forest,Sunflower,Water,9
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Hardwood forest,9
Water,Water,Natural grasslands and pastures,Woody moorlands,9
Industrial and commercial areas,Industrial and commercial areas,Hardwood forest,Diffuse built-up area,9
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Water,9
Natural grasslands and pastures,Natural grasslands and pastures,Sunflower,Industrial and commercial areas,9
Roads,Roads,Sunflower,Diffuse built-up area,9
Corn,Corn,Vineyards,Corn,9
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,Natural grasslands and pastures,9
Woody moorlands,Woody moorlands,Industrial and commercial areas,Water,9
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Soy,9
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Corn,"Straw cereals (Wheat, Triticale, Barley)",9
Vineyards,Vineyards,Softwood forest,Corn,9
Corn,Corn,Soy,"Straw cereals (Wheat, Triticale, Barley)",9
Orchards and fruit growing,Orchards and fruit growing,Grasslands,Orchards and fruit growing,9
Woody moorlands,Woody moorlands,Soy,Orchards and fruit growing,9
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,9
Hardwood forest,Hardwood forest,Orchards and fruit growing,Water,9
Soy,Soy,Vineyards,Sunflower,8
Sunflower,Sunflower,Industrial and commercial areas,Soy,8
Industrial and commercial areas,Industrial and commercial areas,Soy,Vineyards,8
Orchards and fruit growing,Orchards and fruit growing,Corn,Industrial and commercial areas,8
Hardwood forest,Hardwood forest,Diffuse built-up area,Vineyards,8
Water,Water,Softwood forest,Soy,8
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Water,8
Sunflower,Sunflower,Water,Orchards and fruit growing,8
Industrial and commercial areas,Industrial and commercial areas,Corn,Woody moorlands,8
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Woody moorlands,8
Industrial and commercial areas,Industrial and commercial areas,Corn,Orchards and fruit growing,8
Sunflower,Sunflower,Woody moorlands,Industrial and commercial areas,8
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Protein crops (Beans / Peas),8
Corn,Corn,Oilseeds (Rapeseed),Sunflower,8
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Roads,8
Water,Water,Water,Vineyards,8
Soy,Soy,Softwood forest,Sunflower,8
Roads,Roads,Industrial and commercial areas,Softwood forest,8
Natural grasslands and pastures,Natural grasslands and pastures,Roads,Diffuse built-up area,8
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Roads,8
Dense built-up area,Dense built-up area,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",8
Woody moorlands,Woody moorlands,Sunflower,Corn,8
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Natural grasslands and pastures,8
Softwood forest,Softwood forest,Woody moorlands,Vineyards,8
Sunflower,Sunflower,Softwood forest,Sunflower,8
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),8
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Hardwood forest,8
Soy,Soy,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",8
Sunflower,Sunflower,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",8
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Vineyards,8
Water,Water,Soy,Softwood forest,8
Water,Water,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",8
Water,Water,Natural grasslands and pastures,Industrial and commercial areas,8
Soy,Soy,Sunflower,Woody moorlands,7
Sunflower,Sunflower,Sunflower,Diffuse built-up area,7
Sunflower,Sunflower,Industrial and commercial areas,Oilseeds (Rapeseed),7
Diffuse built-up area,Diffuse built-up area,Natural grasslands and pastures,Diffuse built-up area,7
Sunflower,Sunflower,Diffuse built-up area,Industrial and commercial areas,7
Diffuse built-up area,Diffuse built-up area,Natural grasslands and pastures,Industrial and commercial areas,7
Sunflower,Sunflower,Diffuse built-up area,Orchards and fruit growing,7
Hardwood forest,Hardwood forest,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",7
Softwood forest,Softwood forest,Water,Industrial and commercial areas,7
Diffuse built-up area,Diffuse built-up area,Water,Diffuse built-up area,7
Corn,Corn,Corn,Diffuse built-up area,7
Dense built-up area,Dense built-up area,Industrial and commercial areas,Vineyards,7
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Protein crops (Beans / Peas),7
Water,Water,Industrial and commercial areas,Oilseeds (Rapeseed),7
Hardwood forest,Hardwood forest,Vineyards,Sunflower,7
Vineyards,Vineyards,Corn,Orchards and fruit growing,7
Water,Water,Soy,Orchards and fruit growing,7
Water,Water,Soy,Water,7
Dense built-up area,Dense built-up area,Industrial and commercial areas,Oilseeds (Rapeseed),7
Water,Water,Vineyards,Orchards and fruit growing,7
Roads,Roads,Natural grasslands and pastures,Woody moorlands,7
Industrial and commercial areas,Industrial and commercial areas,Natural grasslands and pastures,Diffuse built-up area,7
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Roads,7
Woody moorlands,Woody moorlands,Orchards and fruit growing,Soy,7
Natural grasslands and pastures,Natural grasslands and pastures,Sunflower,Orchards and fruit growing,7
Woody moorlands,Woody moorlands,Soy,Sunflower,7
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Soy,7
Dense built-up area,Dense built-up area,Oilseeds (Rapeseed),Sunflower,7
Roads,Roads,Corn,Soy,7
Softwood forest,Softwood forest,Orchards and fruit growing,Diffuse built-up area,7
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Soy,7
Vineyards,Vineyards,Oilseeds (Rapeseed),Industrial and commercial areas,7
Soy,Soy,Corn,Industrial and commercial areas,6
Orchards and fruit growing,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",Hardwood forest,6
Roads,Roads,Vineyards,Diffuse built-up area,6
Water,Water,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,6
Woody moorlands,Woody moorlands,Sunflower,Protein crops (Beans / Peas),6
Corn,Corn,Industrial and commercial areas,Sunflower,6
Roads,Roads,Oilseeds (Rapeseed),Industrial and commercial areas,6
Woody moorlands,Woody moorlands,Orchards and fruit growing,Vineyards,6
Orchards and fruit growing,Orchards and fruit growing,Orchards and fruit growing,Natural grasslands and pastures,6
Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,Orchards and fruit growing,6
Orchards and fruit growing,Orchards and fruit growing,Natural grasslands and pastures,Woody moorlands,6
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Water,6
Water,Water,Woody moorlands,Hardwood forest,6
Natural grasslands and pastures,Natural grasslands and pastures,Water,Industrial and commercial areas,6
Woody moorlands,Woody moorlands,Orchards and fruit growing,Corn,6
Industrial and commercial areas,Industrial and commercial areas,Water,Softwood forest,6
Vineyards,Vineyards,Vineyards,Protein crops (Beans / Peas),6
Water,Water,Industrial and commercial areas,Softwood forest,6
Sunflower,Sunflower,Roads,Sunflower,6
Vineyards,Vineyards,Diffuse built-up area,Corn,6
Roads,Roads,Industrial and commercial areas,Natural grasslands and pastures,6
Industrial and commercial areas,Industrial and commercial areas,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",6
Vineyards,Vineyards,Vineyards,Woody moorlands,6
Roads,Roads,Diffuse built-up area,Sunflower,6
Sunflower,Sunflower,Orchards and fruit growing,Corn,6
Dense built-up area,Dense built-up area,Natural grasslands and pastures,Dense built-up area,6
Soy,Soy,Diffuse built-up area,Oilseeds (Rapeseed),6
Water,Water,Oilseeds (Rapeseed),Industrial and commercial areas,6
Orchards and fruit growing,Orchards and fruit growing,Water,Softwood forest,6
Orchards and fruit growing,Orchards and fruit growing,Water,Diffuse built-up area,6
Hardwood forest,Hardwood forest,Woody moorlands,Orchards and fruit growing,6
Industrial and commercial areas,Industrial and commercial areas,Water,Diffuse built-up area,6
Hardwood forest,Hardwood forest,Corn,Industrial and commercial areas,6
Woody moorlands,Woody moorlands,Sunflower,Vineyards,5
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",5
Water,Water,Sunflower,Oilseeds (Rapeseed),5
Corn,Corn,Sunflower,Hardwood forest,5
Vineyards,Vineyards,Oilseeds (Rapeseed),Soy,5
Dense built-up area,Dense built-up area,Corn,Industrial and commercial areas,5
Sunflower,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",Soy,5
Vineyards,Vineyards,Orchards and fruit growing,Water,5
Vineyards,Vineyards,Orchards and fruit growing,Woody moorlands,5
Dense built-up area,Dense built-up area,Industrial and commercial areas,Hardwood forest,5
Vineyards,Vineyards,Soy,Industrial and commercial areas,5
Diffuse built-up area,Diffuse built-up area,Oilseeds (Rapeseed),Industrial and commercial areas,5
Water,Water,Softwood forest,Industrial and commercial areas,5
Dense built-up area,Dense built-up area,Natural grasslands and pastures,Woody moorlands,5
Dense built-up area,Dense built-up area,Roads,Diffuse built-up area,5
Vineyards,Vineyards,Woody moorlands,"Straw cereals (Wheat, Triticale, Barley)",5
Vineyards,Vineyards,Corn,Industrial and commercial areas,5
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Softwood forest,5
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Corn,5
Orchards and fruit growing,Orchards and fruit growing,Protein crops (Beans / Peas),"Straw cereals (Wheat, Triticale, Barley)",5
Hardwood forest,Hardwood forest,Orchards and fruit growing,Protein crops (Beans / Peas),5
Natural grasslands and pastures,Natural grasslands and pastures,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,5
Hardwood forest,Hardwood forest,Industrial and commercial areas,Corn,5
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Hardwood forest,5
Roads,Roads,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",5
Hardwood forest,Hardwood forest,Orchards and fruit growing,Softwood forest,5
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Natural grasslands and pastures,5
Orchards and fruit growing,Orchards and fruit growing,Hardwood forest,Woody moorlands,5
Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",5
Softwood forest,Softwood forest,Natural grasslands and pastures,Diffuse built-up area,5
Orchards and fruit growing,Orchards and fruit growing,Roads,Industrial and commercial areas,5
Industrial and commercial areas,Industrial and commercial areas,Grasslands,Diffuse built-up area,5
Soy,Soy,Industrial and commercial areas,Orchards and fruit growing,5
Soy,Soy,Industrial and commercial areas,Hardwood forest,5
Roads,Roads,Natural grasslands and pastures,Diffuse built-up area,5
Soy,Soy,Hardwood forest,Soy,5
Roads,Roads,Orchards and fruit growing,Vineyards,5
Soy,Soy,Orchards and fruit growing,"Straw cereals (Wheat, Triticale, Barley)",5
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),5
Softwood forest,Softwood forest,Sunflower,Woody moorlands,5
Diffuse built-up area,Diffuse built-up area,Sunflower,"Straw cereals (Wheat, Triticale, Barley)",5
Roads,Roads,Corn,Industrial and commercial areas,5
Roads,Roads,Roads,Woody moorlands,5
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Roads,5
Roads,Roads,Woody moorlands,Orchards and fruit growing,5
Soy,Soy,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",5
Softwood forest,Softwood forest,Diffuse built-up area,Orchards and fruit growing,5
Roads,Roads,Industrial and commercial areas,Hardwood forest,5
Roads,Roads,Soy,Roads,4
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Grasslands,4
Soy,Soy,Diffuse built-up area,Industrial and commercial areas,4
Dense built-up area,Dense built-up area,Industrial and commercial areas,Soy,4
Orchards and fruit growing,Orchards and fruit growing,Soy,Woody moorlands,4
Woody moorlands,Woody moorlands,Industrial and commercial areas,Hardwood forest,4
Natural grasslands and pastures,Natural grasslands and pastures,Softwood forest,Diffuse built-up area,4
Vineyards,Vineyards,Water,Diffuse built-up area,4
Softwood forest,Softwood forest,Natural grasslands and pastures,Soy,4
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Protein crops (Beans / Peas),4
Hardwood forest,Hardwood forest,Softwood forest,Vineyards,4
Roads,Roads,Softwood forest,Orchards and fruit growing,4
Orchards and fruit growing,Orchards and fruit growing,Industrial and commercial areas,Vineyards,4
Water,Water,Oilseeds (Rapeseed),Orchards and fruit growing,4
Roads,Roads,Water,Sunflower,4
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Oilseeds (Rapeseed),4
Woody moorlands,Woody moorlands,Diffuse built-up area,Vineyards,4
Vineyards,Vineyards,Water,Sunflower,4
Vineyards,Vineyards,Diffuse built-up area,Softwood forest,4
Natural grasslands and pastures,Natural grasslands and pastures,Industrial and commercial areas,Orchards and fruit growing,4
Vineyards,Vineyards,Hardwood forest,Sunflower,4
Orchards and fruit growing,Orchards and fruit growing,Diffuse built-up area,Vineyards,4
Roads,Roads,Water,Orchards and fruit growing,4
Hardwood forest,Hardwood forest,Industrial and commercial areas,Soy,4
Softwood forest,Softwood forest,Natural grasslands and pastures,Woody moorlands,4
Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,Industrial and commercial areas,4
Roads,Roads,Water,Woody moorlands,4
Woody moorlands,Woody moorlands,Diffuse built-up area,Water,4
Water,Water,Woody moorlands,Soy,4
Orchards and fruit growing,Orchards and fruit growing,Natural grasslands and pastures,Sunflower,4
Soy,Soy,Vineyards,Roads,4
Vineyards,Vineyards,Oilseeds (Rapeseed),Orchards and fruit growing,4
Soy,Soy,Water,Soy,4
Soy,Soy,Roads,Sunflower,4
Water,Water,Vineyards,Woody moorlands,4
Water,Water,Water,Diffuse built-up area,4
Industrial and commercial areas,Industrial and commercial areas,Hardwood forest,Sunflower,4
Softwood forest,Softwood forest,Grasslands,"Straw cereals (Wheat, Triticale, Barley)",4
Corn,Corn,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",4
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Soy,"Straw cereals (Wheat, Triticale, Barley)",4
Dense built-up area,Dense built-up area,Soy,Diffuse built-up area,4
Dense built-up area,Dense built-up area,Diffuse built-up area,Vineyards,4
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),4
Vineyards,Vineyards,Woody moorlands,Hardwood forest,4
Soy,Soy,Industrial and commercial areas,Softwood forest,4
Natural grasslands and pastures,Natural grasslands and pastures,Diffuse built-up area,Sunflower,4
Hardwood forest,Hardwood forest,Protein crops (Beans / Peas),Corn,4
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Diffuse built-up area,4
Diffuse built-up area,Diffuse built-up area,Diffuse built-up area,Dense built-up area,4
Water,Water,Soy,Woody moorlands,4
Dense built-up area,Dense built-up area,Industrial and commercial areas,Corn,4
Industrial and commercial areas,Industrial and commercial areas,Protein crops (Beans / Peas),"Straw cereals (Wheat, Triticale, Barley)",4
Soy,Soy,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",4
Roads,Roads,Sunflower,Woody moorlands,4
Corn,Corn,Orchards and fruit growing,Diffuse built-up area,4
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",4
Roads,Roads,Sunflower,Vineyards,4
Diffuse built-up area,Diffuse built-up area,Hardwood forest,Diffuse built-up area,3
Woody moorlands,Woody moorlands,Protein crops (Beans / Peas),Woody moorlands,3
Softwood forest,Softwood forest,Grasslands,Sunflower,3
Roads,Roads,Roads,Orchards and fruit growing,3
Orchards and fruit growing,Orchards and fruit growing,Corn,Woody moorlands,3
Dense built-up area,Dense built-up area,Vineyards,Corn,3
Vineyards,Vineyards,Industrial and commercial areas,Roads,3
Vineyards,Vineyards,Protein crops (Beans / Peas),"Straw cereals (Wheat, Triticale, Barley)",3
Softwood forest,Softwood forest,Industrial and commercial areas,Corn,3
Vineyards,Vineyards,Diffuse built-up area,Soy,3
Water,Water,Industrial and commercial areas,Hardwood forest,3
Vineyards,Vineyards,Natural grasslands and pastures,Woody moorlands,3
Water,Water,Diffuse built-up area,Oilseeds (Rapeseed),3
Softwood forest,Softwood forest,Industrial and commercial areas,Soy,3
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Vineyards,3
Dense built-up area,Dense built-up area,Vineyards,Dense built-up area,3
Roads,Roads,Orchards and fruit growing,Softwood forest,3
Roads,Roads,Softwood forest,Natural grasslands and pastures,3
Dense built-up area,Dense built-up area,Sunflower,Vineyards,3
Woody moorlands,Woody moorlands,Softwood forest,Vineyards,3
Dense built-up area,Dense built-up area,Corn,Dense built-up area,3
Softwood forest,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,3
Corn,Corn,Diffuse built-up area,Oilseeds (Rapeseed),3
Industrial and commercial areas,Industrial and commercial areas,Orchards and fruit growing,Grasslands,3
Sunflower,Sunflower,Oilseeds (Rapeseed),Industrial and commercial areas,3
Dense built-up area,Dense built-up area,Corn,"Straw cereals (Wheat, Triticale, Barley)",3
Soy,Soy,Industrial and commercial areas,Woody moorlands,3
Soy,Soy,Oilseeds (Rapeseed),Orchards and fruit growing,3
Woody moorlands,Woody moorlands,Vineyards,Softwood forest,3
Roads,Roads,Sunflower,Soy,3
Woody moorlands,Woody moorlands,Orchards and fruit growing,Natural grasslands and pastures,3
Corn,Corn,Diffuse built-up area,Hardwood forest,3
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Softwood forest,3
Water,Water,Sunflower,Vineyards,3
Diffuse built-up area,Diffuse built-up area,Vineyards,Orchards and fruit growing,3
Dense built-up area,Dense built-up area,Diffuse built-up area,Corn,3
Soy,Soy,Sunflower,Roads,3
Water,Water,Water,Hardwood forest,3
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Oilseeds (Rapeseed),3
Soy,Soy,Soy,Vineyards,3
Diffuse built-up area,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,3
Woody moorlands,Woody moorlands,Grasslands,Woody moorlands,3
Sunflower,Sunflower,Oilseeds (Rapeseed),"Straw cereals (Wheat, Triticale, Barley)",3
Soy,Soy,Corn,Orchards and fruit growing,3
Orchards and fruit growing,Orchards and fruit growing,Sunflower,Vineyards,3
Hardwood forest,Hardwood forest,Softwood forest,Orchards and fruit growing,3
Softwood forest,Softwood forest,Sunflower,Vineyards,3
Woody moorlands,Woody moorlands,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",3
Hardwood forest,Hardwood forest,Water,Woody moorlands,3
Hardwood forest,Hardwood forest,Woody moorlands,Diffuse built-up area,3
Roads,Roads,Soy,"Straw cereals (Wheat, Triticale, Barley)",3
Softwood forest,Softwood forest,Vineyards,Soy,3
Water,Water,Orchards and fruit growing,Oilseeds (Rapeseed),3
Corn,Corn,Sunflower,Diffuse built-up area,3
Dense built-up area,Dense built-up area,Vineyards,Orchards and fruit growing,3
Softwood forest,Softwood forest,Woody moorlands,Corn,3
Vineyards,Vineyards,Woody moorlands,Corn,3
Woody moorlands,Woody moorlands,Corn,Softwood forest,3
Sunflower,Sunflower,Soy,Grasslands,3
Hardwood forest,Hardwood forest,Hardwood forest,Soy,3
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Oilseeds (Rapeseed),3
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Vineyards,3
Vineyards,Vineyards,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,3
Industrial and commercial areas,Industrial and commercial areas,Protein crops (Beans / Peas),Orchards and fruit growing,2
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Orchards and fruit growing,2
Roads,Roads,Soy,Corn,2
Roads,Roads,"Straw cereals (Wheat, Triticale, Barley)",Soy,2
Hardwood forest,Hardwood forest,"Straw cereals (Wheat, Triticale, Barley)",Diffuse built-up area,2
Soy,Soy,Orchards and fruit growing,Industrial and commercial areas,2
Vineyards,Vineyards,Woody moorlands,Diffuse built-up area,2
Woody moorlands,Woody moorlands,Diffuse built-up area,Oilseeds (Rapeseed),2
Water,Water,Softwood forest,Diffuse built-up area,2
Industrial and commercial areas,Industrial and commercial areas,Corn,Vineyards,2
Water,Water,Woody moorlands,Vineyards,2
Industrial and commercial areas,Industrial and commercial areas,Diffuse built-up area,Protein crops (Beans / Peas),2
Orchards and fruit growing,Orchards and fruit growing,Soy,Corn,2
Orchards and fruit growing,Orchards and fruit growing,Softwood forest,Hardwood forest,2
Orchards and fruit growing,Orchards and fruit growing,Protein crops (Beans / Peas),Diffuse built-up area,2
Water,Water,Sunflower,Corn,2
Industrial and commercial areas,Industrial and commercial areas,Grasslands,"Straw cereals (Wheat, Triticale, Barley)",2
Industrial and commercial areas,Industrial and commercial areas,Grasslands,Sunflower,2
Water,Water,Sunflower,Soy,2
Industrial and commercial areas,Industrial and commercial areas,Oilseeds (Rapeseed),Hardwood forest,2
Dense built-up area,Dense built-up area,Diffuse built-up area,Soy,2
Industrial and commercial areas,Industrial and commercial areas,Industrial and commercial areas,Water,2
Orchards and fruit growing,Orchards and fruit growing,Natural grasslands and pastures,"Straw cereals (Wheat, Triticale, Barley)",2
Woody moorlands,Woody moorlands,Corn,Industrial and commercial areas,2
Orchards and fruit growing,Orchards and fruit growing,Vineyards,Diffuse built-up area,2
Oilseeds (Rapeseed),Oilseeds (Rapeseed),Diffuse built-up area,Oilseeds (Rapeseed),2
Woody moorlands,Woody moorlands,Diffuse built-up area,Softwood forest,2
Roads,Roads,Orchards and fruit growing,Woody moorlands,2
Water,Water,Corn,Softwood forest,2
Hardwood forest,Hardwood forest,Vineyards,Corn,2
Industrial and commercial areas,Industrial and commercial areas,Protein crops (Beans / Peas),Diffuse built-up area,2
Water,Water,Grasslands,Oilseeds (Rapeseed),2
Woody moorlands,Woody moorlands,Industrial and commercial areas,Protein crops (Beans / Peas),2
Roads,Roads,Industrial and commercial areas,Oilseeds (Rapeseed),2
Water,Water,Industrial and commercial areas,Roads,2
Roads,Roads,Diffuse built-up area,"Straw cereals (Wheat, Triticale, Barley)",2
Corn,Corn,Woody moorlands,Corn,2
Roads,Roads,Dense built-up area,Roads,2
Corn,Corn,Woody moorlands,Industrial and commercial areas,2
Orchards and fruit growing,Orchards and fruit growing,Woody moorlands,Vineyards,2
Vineyards,Vineyards,Sunflower,Woody moorlands,2
Hardwood forest,Hardwood forest,Water,Softwood forest,2
Natural grasslands and pastures,Natural grasslands and pastures,Woody moorlands,Orchards and fruit growing,2
Softwood forest,Softwood forest,Diffuse built-up area,Corn,2
Corn,Corn,"Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,2
Natural grasslands and pastures,Natural grasslands and pastures,Orchards and fruit growing,Vineyards,2
Corn,Corn,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",2
Sunflower,Sunflower,Softwood forest,Woody moorlands,2
Softwood forest,Softwood forest,Water,Sunflower,2
Softwood forest,Softwood forest,Vineyards,Woody moorlands,2
Sunflower,Sunflower,Sunflower,Grasslands,2
Softwood forest,Softwood forest,Vineyards,Diffuse built-up area,2
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Orchards and fruit growing,2
Sunflower,Sunflower,Vineyards,Industrial and commercial areas,2
Sunflower,Sunflower,Vineyards,Oilseeds (Rapeseed),2
Dense built-up area,Dense built-up area,"Straw cereals (Wheat, Triticale, Barley)",Hardwood forest,2
Woody moorlands,Woody moorlands,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",2
Sunflower,Sunflower,Woody moorlands,Softwood forest,2
Vineyards,Vineyards,Corn,Hardwood forest,2
Industrial and commercial areas,Industrial and commercial areas,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",2
Softwood forest,Softwood forest,"Straw cereals (Wheat, Triticale, Barley)",Softwood forest,2
Softwood forest,Softwood forest,Soy,Sunflower,2
Softwood forest,Softwood forest,Soy,Softwood forest,2
Woody moorlands,Woody moorlands,Soy,Corn,2
Diffuse built-up area,Diffuse built-up area,Grasslands,Diffuse built-up area,2
Corn,Corn,Oilseeds (Rapeseed),Diffuse built-up area,2
Corn,Corn,Industrial and commercial areas,Soy,2
Sunflower,Sunflower,Orchards and fruit growing,Water,2
Sunflower,Sunflower,Orchards and fruit growing,Vineyards,2
Diffuse built-up area,Diffuse built-up area,Industrial and commercial areas,Woody moorlands,2
Industrial and commercial areas,Industrial and commercial areas,Sunflower,Grasslands,2
Diffuse built-up area,Diffuse built-up area,Sunflower,Vineyards,2
Soy,Soy,Sunflower,Protein crops (Beans / Peas),2
Industrial and commercial areas,Industrial and commercial areas,Vineyards,Water,2
Woody moorlands,Woody moorlands,Woody moorlands,Roads,2
Industrial and commercial areas,Industrial and commercial areas,"Straw cereals (Wheat, Triticale, Barley)",Hardwood forest,2
Soy,Soy,Vineyards,Industrial and commercial areas,2
Corn,Corn,Corn,Protein crops (Beans / Peas),2
Soy,Soy,Softwood forest,Industrial and commercial areas,2
"Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)","Straw cereals (Wheat, Triticale, Barley)",Industrial and commercial areas,2
Industrial and commercial areas,Industrial and commercial areas,Woody moorlands,Natural grasslands and pastures,2
